项目名称,项目编码,建设单位,项目主管部门,概算批复金额,资金批复金额,批复日期,资金性质,经办人,经办处室
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,3111.31,2024-05-18,专项债券,梁文博,计划财务处
东城区住宅小区建设二期,UC20250109,教育建设投资公司,市生态环境局,19187.36,6291.97,2023-02-25,中央综合财力,黄志明,规划设计处
新区停车场建设五期,UC20250084,基础设施建设公司,市规划和自然资源局,12808.92,3893.04,2023-05-10,中央补助,刘建国,项目管理处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,3509.81,2023-05-26,土地出让金,周建军,审计监察处
工业园区道路建设工程一期,UC20250164,文化建设集团,市园林绿化局,15239.68,7601.79,2023-11-25,专项债券,邓文华,质量安全处
高新区住宅小区建设四期,UC20250177,住房建设集团,市规划和自然资源局,6523.64,716.55,2023-12-20,省级补助,吴德华,计划财务处
工业园区桥梁建设工程二期,UC20250157,水务建设集团公司,市发展和改革委员会,4636.74,2132.01,2024-05-05,一般债券,徐文军,招投标管理处
生态城区公交站台建设五期,UC20250016,教育建设投资公司,市住房和城乡建设局,5193.74,477.5,2024-07-28,省级补助,林志强,质量安全处
东城区隧道建设工程五期,UC20250006,基础设施建设公司,市交通运输局,12966.97,5076.61,2024-05-09,省级补助,黄志明,招投标管理处
工业园区文化中心建设一期,UC20250096,园林绿化建设集团,市规划和自然资源局,19627.56,9168.71,2024-01-28,一般债券,朱建平,招投标管理处
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,19718.38,1937.64,2023-09-21,中央补助,杨文华,工程建设处
工业园区供水管网工程四期,UC20250178,水务建设集团公司,市体育局,8559.13,1927.09,2023-02-23,中央预算内投资,吴德华,计划财务处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,1905.56,2023-10-24,一般债券,周建军,项目管理处
新区住宅小区建设二期,UC20250112,医疗建设发展公司,市文化和旅游局,4157.74,1574.08,2023-09-08,中央综合财力,邓文华,规划设计处
开发区广场建设工程三期,UC20250051,环保建设投资公司,市规划和自然资源局,15130.96,6860.94,2024-06-02,省级补助,刘建国,投资建设处
滨海新区排水管网工程一期,UC20250139,城市投资建设集团,市文化和旅游局,1824.32,617.84,2024-08-13,中央补助,郭建华,审计监察处
山区博物馆建设三期,UC20250082,医疗建设发展公司,市水利局,9010.59,2106.02,2023-06-05,省级补助,韩志刚,投资建设处
西城区停车场建设五期,UC20250198,市政建设集团有限公司,市水利局,6036.55,1504.2,2024-03-13,中央综合财力,马建设,规划设计处
开发区文化中心建设三期,UC20250019,环保建设投资公司,市园林绿化局,3472.43,710.39,2024-12-28,省级补助,郭建华,计划财务处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,3797.89,2024-02-21,专项债券,何志远,投资建设处
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,18647.72,8346.95,2023-06-21,中央预算内投资,陈志刚,计划财务处
开发区排水管网工程五期,UC20250115,住房建设集团,市生态环境局,4923.67,2030.37,2024-06-04,省级补助,何志远,项目管理处
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,13900.46,5757.0,2023-12-25,省级补助,彭志明,招投标管理处
开发区公园绿化工程五期,UC20250039,住房建设集团,市规划和自然资源局,11375.17,1390.32,2024-03-15,专项债券,周建军,招投标管理处
科技园区桥梁建设工程一期,UC20250072,公共设施建设集团,市生态环境局,3031.25,871.04,2023-06-04,一般债券,钱国强,工程建设处
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,18545.15,3605.29,2023-12-22,专项债券,高建国,审计监察处
科技园区公园绿化工程四期,UC20250075,住房建设集团,市城市管理局,10804.52,5177.1,2024-03-01,一般债券,黄志明,规划设计处
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,4114.42,1401.52,2024-08-06,一般债券,曹建军,质量安全处
开发区住宅小区建设一期,UC20250074,园林绿化建设集团,市园林绿化局,6621.25,1805.93,2024-11-10,中央补助,赵文博,计划财务处
东城区供水管网工程五期,UC20250071,住房建设集团,市交通运输局,2449.48,396.52,2023-08-21,中央预算内投资,林志强,计划财务处
东城区广场建设工程二期,UC20250013,水务建设集团公司,市文化和旅游局,7687.92,3062.85,2023-09-04,省级补助,高建国,招投标管理处
西城区广场建设工程二期,UC20250116,教育建设投资公司,市交通运输局,10935.63,1042.37,2023-11-21,省级补助,杨文华,规划设计处
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,10388.38,3907.02,2024-05-17,土地出让金,郭建华,审计监察处
科技园区桥梁建设工程一期,UC20250032,交通建设发展集团,市体育局,1904.37,491.2,2023-08-08,中央预算内投资,吴德华,工程建设处
科技园区隧道建设工程四期,UC20250167,公共设施建设集团,市文化和旅游局,3628.24,999.3,2025-02-01,中央综合财力,朱建平,规划设计处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,4139.84,2024-12-16,中央综合财力,李明强,工程建设处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,5804.01,2024-05-17,土地出让金,马建设,审计监察处
北城区住宅小区建设四期,UC20250073,公共设施建设集团,市规划和自然资源局,15447.51,3168.36,2023-09-22,中央综合财力,李明强,计划财务处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,1742.99,2024-06-18,一般债券,赵文博,综合管理处
西城区隧道建设工程二期,UC20250085,环保建设投资公司,市水利局,16589.72,4567.41,2024-05-01,一般债券,陈志刚,资金管理处
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,549.45,2024-03-19,中央补助,周建军,项目管理处
开发区住宅小区建设一期,UC20250074,园林绿化建设集团,市园林绿化局,6621.25,2600.62,2024-10-08,省级补助,李明强,计划财务处
生态城区广场建设工程五期,UC20250149,住房建设集团,市体育局,5797.62,645.62,2024-06-09,专项债券,李明强,投资建设处
南城区排水管网工程四期,UC20250004,公共设施建设集团,市体育局,1197.02,584.8,2024-05-08,专项债券,梁文博,项目管理处
新区住宅小区建设三期,UC20250113,文化建设集团,市规划和自然资源局,18586.78,6966.47,2024-12-27,土地出让金,朱建平,计划财务处
南城区供水管网工程四期,UC20250027,城市投资建设集团,市规划和自然资源局,15862.12,3730.84,2024-06-17,中央预算内投资,林志强,规划设计处
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,13900.46,3366.97,2023-07-03,专项债券,朱建平,质量安全处
滨海新区医院建设工程五期,UC20250011,基础设施建设公司,市发展和改革委员会,15502.96,6057.56,2025-01-09,中央补助,徐文军,审计监察处
南城区医院建设工程五期,UC20250001,文化建设集团,市城市管理局,13153.33,4227.2,2023-11-05,省级补助,何志远,计划财务处
经济技术开发区医院建设工程五期,UC20250142,园林绿化建设集团,市住房和城乡建设局,2574.42,783.49,2023-09-24,专项债券,曹建军,质量安全处
新区商业综合体建设二期,UC20250181,交通建设发展集团,市规划和自然资源局,5276.28,688.09,2024-06-30,中央综合财力,陈志刚,审计监察处
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,13900.46,912.02,2023-05-31,土地出让金,马建设,投资建设处
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,7647.73,2504.68,2023-08-05,省级补助,黄志明,投资建设处
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,11577.32,5328.91,2025-01-18,土地出让金,梁文博,招投标管理处
滨海新区文化中心建设五期,UC20250133,公共设施建设集团,市交通运输局,10244.62,3592.92,2023-12-30,中央预算内投资,黄志明,工程建设处
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,1473.65,376.81,2024-09-19,中央综合财力,钱国强,项目管理处
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,1943.2,2025-01-01,中央预算内投资,曹建军,招投标管理处
东城区隧道建设工程二期,UC20250190,教育建设投资公司,市教育局,15294.75,6166.99,2024-08-04,专项债券,韩志刚,工程建设处
新区图书馆建设三期,UC20250030,文化建设集团,市住房和城乡建设局,2777.61,1130.76,2024-11-22,中央综合财力,梁文博,资金管理处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,3270.74,2024-09-10,中央预算内投资,钱国强,规划设计处
山区排水管网工程五期,UC20250069,园林绿化建设集团,市卫生健康委员会,15997.2,853.04,2025-01-03,中央预算内投资,朱建平,计划财务处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,7853.97,2024-12-27,专项债券,徐文军,计划财务处
南城区排水管网工程四期,UC20250144,医疗建设发展公司,市水利局,4515.07,1604.98,2024-06-14,一般债券,周建军,质量安全处
开发区医院建设工程四期,UC20250028,交通建设发展集团,市卫生健康委员会,1513.85,466.23,2024-09-24,土地出让金,王志远,综合管理处
北城区供水管网工程五期,UC20250141,公共设施建设集团,市城市管理局,1740.98,377.43,2023-07-30,专项债券,邓文华,工程建设处
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,1473.65,628.4,2024-09-15,中央综合财力,周建军,投资建设处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,927.89,2024-01-05,省级补助,何志远,资金管理处
北城区博物馆建设一期,UC20250092,环保建设投资公司,市城市管理局,14721.72,6766.74,2024-03-30,专项债券,梁文博,规划设计处
滨海新区地铁建设工程二期,UC20250196,文化建设集团,市教育局,8949.93,2286.97,2024-01-10,专项债券,李明强,计划财务处
西城区隧道建设工程二期,UC20250085,环保建设投资公司,市水利局,16589.72,6339.73,2024-01-12,省级补助,彭志明,项目管理处
滨海新区地铁建设工程二期,UC20250196,文化建设集团,市教育局,8949.93,1770.57,2023-04-30,省级补助,马建设,工程建设处
科技园区供水管网工程一期,UC20250170,交通建设发展集团,市生态环境局,13000.65,3960.16,2024-11-03,中央预算内投资,朱建平,规划设计处
新区商业综合体建设二期,UC20250181,交通建设发展集团,市规划和自然资源局,5276.28,1653.33,2024-05-20,中央补助,刘建国,审计监察处
山区停车场建设二期,UC20250093,教育建设投资公司,市城市管理局,9672.8,2923.18,2023-06-11,省级补助,杨文华,工程建设处
新区文化中心建设三期,UC20250099,教育建设投资公司,市生态环境局,10879.91,4374.41,2023-10-04,中央预算内投资,林志强,计划财务处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,2873.14,2023-12-11,一般债券,王志远,规划设计处
东城区供水管网工程五期,UC20250071,住房建设集团,市交通运输局,2449.48,1129.55,2023-06-07,省级补助,赵文博,审计监察处
生态城区体育中心建设一期,UC20250007,基础设施建设公司,市教育局,5263.45,602.68,2024-02-28,省级补助,周建军,资金管理处
西城区停车场建设五期,UC20250198,市政建设集团有限公司,市水利局,6036.55,1923.34,2023-08-21,省级补助,高建国,审计监察处
工业园区图书馆建设四期,UC20250035,文化建设集团,市水利局,19566.13,9368.92,2024-06-09,中央综合财力,梁文博,项目管理处
经济技术开发区道路建设工程二期,UC20250098,交通建设发展集团,市园林绿化局,18768.27,3587.25,2023-04-28,中央预算内投资,林志强,计划财务处
南城区学校建设工程一期,UC20250111,交通建设发展集团,市规划和自然资源局,14688.91,2211.52,2023-11-01,中央补助,高建国,招投标管理处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,6404.82,2024-04-14,中央综合财力,彭志明,质量安全处
山区污水处理厂建设四期,UC20250005,公共设施建设集团,市文化和旅游局,17553.7,4228.74,2023-08-01,省级补助,朱建平,项目管理处
工业园区体育中心建设四期,UC20250018,文化建设集团,市生态环境局,9233.4,3982.66,2023-11-04,土地出让金,孙海涛,审计监察处
东城区道路建设工程二期,UC20250174,公共设施建设集团,市文化和旅游局,5313.94,1531.3,2024-06-14,中央综合财力,刘建国,计划财务处
科技园区医院建设工程一期,UC20250045,文化建设集团,市生态环境局,6084.2,1217.0,2023-08-18,中央预算内投资,张建华,计划财务处
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,16191.13,4171.68,2023-06-09,中央预算内投资,钱国强,投资建设处
科技园区体育中心建设五期,UC20250165,文化建设集团,市卫生健康委员会,13601.03,4327.09,2024-05-17,省级补助,刘建国,计划财务处
经济技术开发区博物馆建设二期,UC20250194,文化建设集团,市体育局,10431.5,2770.51,2023-11-19,中央补助,梁文博,投资建设处
东城区排水管网工程三期,UC20250020,水务建设集团公司,市发展和改革委员会,6587.12,2685.93,2023-10-23,专项债券,孙海涛,招投标管理处
科技园区文化中心建设一期,UC20250022,园林绿化建设集团,市城市管理局,17899.28,3419.98,2024-08-07,中央预算内投资,曹建军,资金管理处
工业园区道路建设工程四期,UC20250091,公共设施建设集团,市园林绿化局,3587.95,1342.21,2024-09-12,一般债券,韩志刚,工程建设处
经济技术开发区桥梁建设工程四期,UC20250024,交通建设发展集团,市体育局,19706.26,9423.11,2025-04-11,中央预算内投资,朱建平,投资建设处
开发区广场建设工程五期,UC20250064,医疗建设发展公司,市规划和自然资源局,8411.23,2257.44,2024-11-12,专项债券,邓文华,规划设计处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,7860.65,2024-09-04,一般债券,徐文军,招投标管理处
北城区停车场建设五期,UC20250189,医疗建设发展公司,市城市管理局,6341.98,1216.71,2024-06-21,中央补助,郭建华,投资建设处
经济技术开发区医院建设工程五期,UC20250142,园林绿化建设集团,市住房和城乡建设局,2574.42,618.07,2023-10-07,省级补助,孙海涛,工程建设处
经济技术开发区隧道建设工程二期,UC20250014,园林绿化建设集团,市住房和城乡建设局,17729.54,5592.0,2023-05-11,省级补助,赵文博,审计监察处
东城区住宅小区建设二期,UC20250109,教育建设投资公司,市生态环境局,19187.36,5448.21,2023-04-09,土地出让金,朱建平,规划设计处
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,9711.83,2861.9,2023-09-04,省级补助,赵文博,规划设计处
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,4605.77,807.57,2023-04-22,省级补助,张建华,综合管理处
西城区桥梁建设工程二期,UC20250008,公共设施建设集团,市住房和城乡建设局,9513.51,1843.59,2023-05-30,中央综合财力,杨文华,资金管理处
开发区排水管网工程三期,UC20250059,园林绿化建设集团,市规划和自然资源局,10416.65,1629.58,2023-07-20,省级补助,杨文华,投资建设处
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,4114.42,1505.69,2023-10-03,专项债券,林志强,审计监察处
山区住宅小区建设二期,UC20250048,教育建设投资公司,市园林绿化局,16282.43,1473.01,2024-01-20,中央补助,张建华,工程建设处
山区停车场建设三期,UC20250152,环保建设投资公司,市体育局,6751.53,962.47,2023-04-12,土地出让金,彭志明,投资建设处
山区停车场建设三期,UC20250152,环保建设投资公司,市体育局,6751.53,684.95,2023-06-01,一般债券,黄志明,工程建设处
山区博物馆建设三期,UC20250082,医疗建设发展公司,市水利局,9010.59,704.72,2024-01-09,中央综合财力,韩志刚,综合管理处
开发区图书馆建设三期,UC20250125,教育建设投资公司,市园林绿化局,2870.19,1160.63,2024-03-01,一般债券,陈志刚,综合管理处
滨海新区污水处理厂建设五期,UC20250086,文化建设集团,市卫生健康委员会,12672.36,3242.23,2024-10-09,一般债券,彭志明,质量安全处
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,17959.8,2103.57,2024-11-13,中央预算内投资,梁文博,招投标管理处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,4439.1,2024-07-11,中央预算内投资,张建华,规划设计处
科技园区桥梁建设工程一期,UC20250032,交通建设发展集团,市体育局,1904.37,939.77,2023-11-25,专项债券,钱国强,综合管理处
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,11577.32,3392.77,2025-03-12,土地出让金,高建国,招投标管理处
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,8515.16,733.22,2023-04-16,中央综合财力,曹建军,质量安全处
开发区排水管网工程三期,UC20250059,园林绿化建设集团,市规划和自然资源局,10416.65,1117.46,2023-12-06,省级补助,李明强,工程建设处
山区污水处理厂建设四期,UC20250054,基础设施建设公司,市教育局,3819.6,1496.78,2023-11-08,省级补助,邓文华,投资建设处
工业园区医院建设工程三期,UC20250103,城市投资建设集团,市发展和改革委员会,18777.54,6913.82,2024-11-06,土地出让金,曹建军,项目管理处
南城区医院建设工程五期,UC20250001,文化建设集团,市城市管理局,13153.33,6521.68,2023-07-06,土地出让金,张建华,项目管理处
新区博物馆建设三期,UC20250017,市政建设集团有限公司,市体育局,14150.93,2941.34,2025-04-01,中央预算内投资,彭志明,综合管理处
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,15176.03,4186.86,2024-04-17,中央补助,郭建华,规划设计处
生态城区广场建设工程五期,UC20250149,住房建设集团,市体育局,5797.62,886.16,2023-09-21,中央综合财力,李明强,审计监察处
东城区垃圾处理中心建设二期,UC20250176,公共设施建设集团,市生态环境局,16258.53,1065.54,2024-06-21,土地出让金,张建华,招投标管理处
生态城区体育中心建设一期,UC20250007,基础设施建设公司,市教育局,5263.45,820.25,2024-02-14,土地出让金,马建设,综合管理处
新区博物馆建设三期,UC20250017,市政建设集团有限公司,市体育局,14150.93,722.17,2024-08-12,专项债券,王志远,资金管理处
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,19718.38,2996.87,2024-02-21,中央补助,张建华,规划设计处
高新区住宅小区建设三期,UC20250146,城市投资建设集团,市生态环境局,3426.51,560.14,2024-10-10,中央预算内投资,彭志明,项目管理处
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,18647.72,4431.58,2024-01-01,省级补助,徐文军,综合管理处
南城区学校建设工程五期,UC20250057,教育建设投资公司,市卫生健康委员会,12854.33,2228.2,2024-01-02,中央综合财力,何志远,招投标管理处
新区住宅小区建设二期,UC20250112,医疗建设发展公司,市文化和旅游局,4157.74,2037.68,2023-11-01,中央补助,吴德华,项目管理处
生态城区广场建设工程五期,UC20250149,住房建设集团,市体育局,5797.62,2835.24,2024-05-19,土地出让金,林志强,项目管理处
工业园区道路建设工程四期,UC20250091,公共设施建设集团,市园林绿化局,3587.95,1663.93,2024-03-14,中央预算内投资,林志强,综合管理处
开发区文化中心建设三期,UC20250019,环保建设投资公司,市园林绿化局,3472.43,1233.95,2024-12-20,省级补助,张建华,审计监察处
开发区供水管网工程三期,UC20250162,交通建设发展集团,市卫生健康委员会,1008.09,148.91,2024-05-13,一般债券,郭建华,投资建设处
经济技术开发区文化中心建设二期,UC20250052,住房建设集团,市交通运输局,3674.35,936.21,2024-09-20,中央预算内投资,李明强,审计监察处
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,18545.15,3073.49,2023-09-14,省级补助,朱建平,计划财务处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,1839.03,2023-06-22,中央补助,梁文博,招投标管理处
经济技术开发区停车场建设四期,UC20250081,公共设施建设集团,市城市管理局,11579.71,5720.09,2024-06-21,中央补助,杨文华,招投标管理处
科技园区隧道建设工程四期,UC20250167,公共设施建设集团,市文化和旅游局,3628.24,1686.03,2024-07-19,土地出让金,彭志明,投资建设处
新区公园绿化工程一期,UC20250153,基础设施建设公司,市交通运输局,6219.38,2095.63,2024-12-10,中央预算内投资,陈志刚,资金管理处
西城区停车场建设五期,UC20250198,市政建设集团有限公司,市水利局,6036.55,2476.59,2023-11-28,中央综合财力,徐文军,审计监察处
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,18647.72,8825.53,2023-11-20,中央综合财力,张建华,招投标管理处
科技园区道路建设工程一期,UC20250065,医疗建设发展公司,市规划和自然资源局,1011.49,254.6,2025-02-03,中央综合财力,王志远,项目管理处
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,10388.38,4680.02,2024-09-21,土地出让金,张建华,投资建设处
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,10388.38,4735.35,2023-12-13,中央补助,刘建国,综合管理处
西城区停车场建设五期,UC20250192,基础设施建设公司,市体育局,6013.08,2976.14,2023-12-26,专项债券,马建设,综合管理处
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,1473.65,340.64,2024-01-02,中央综合财力,李明强,计划财务处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,422.92,2024-02-03,省级补助,杨文华,质量安全处
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,8515.16,2459.66,2023-12-29,中央预算内投资,李明强,规划设计处
西城区隧道建设工程二期,UC20250085,环保建设投资公司,市水利局,16589.72,1583.52,2024-01-19,中央补助,孙海涛,审计监察处
新区排水管网工程一期,UC20250122,基础设施建设公司,市城市管理局,1645.86,630.73,2024-02-20,专项债券,钱国强,规划设计处
西城区桥梁建设工程二期,UC20250008,公共设施建设集团,市住房和城乡建设局,9513.51,2488.78,2023-02-16,中央补助,林志强,投资建设处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,4427.39,2024-10-17,中央预算内投资,邓文华,审计监察处
经济技术开发区体育中心建设二期,UC20250169,医疗建设发展公司,市体育局,8178.7,3163.53,2024-03-14,中央补助,黄志明,项目管理处
经济技术开发区文化中心建设二期,UC20250052,住房建设集团,市交通运输局,3674.35,1064.1,2024-09-28,土地出让金,邓文华,规划设计处
新区商业综合体建设三期,UC20250068,教育建设投资公司,市教育局,15761.66,2291.52,2023-11-18,中央补助,朱建平,规划设计处
滨海新区商业综合体建设三期,UC20250140,住房建设集团,市生态环境局,15413.4,6488.0,2023-03-30,专项债券,马建设,投资建设处
山区住宅小区建设二期,UC20250048,教育建设投资公司,市园林绿化局,16282.43,5000.43,2024-01-03,土地出让金,徐文军,工程建设处
开发区体育中心建设一期,UC20250108,园林绿化建设集团,市城市管理局,1473.65,629.85,2024-02-28,土地出让金,高建国,审计监察处
科技园区隧道建设工程三期,UC20250038,园林绿化建设集团,市生态环境局,18476.73,5282.34,2024-07-07,省级补助,李明强,计划财务处
工业园区体育中心建设四期,UC20250018,文化建设集团,市生态环境局,9233.4,3363.57,2023-06-26,一般债券,黄志明,项目管理处
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,19718.38,7496.2,2023-12-19,土地出让金,高建国,资金管理处
科技园区商业综合体建设二期,UC20250150,环保建设投资公司,市水利局,11194.94,3499.31,2023-07-29,一般债券,彭志明,招投标管理处
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,18545.15,4875.67,2024-01-21,中央预算内投资,邓文华,工程建设处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,3059.59,2024-02-29,中央预算内投资,徐文军,资金管理处
高新区停车场建设三期,UC20250026,环保建设投资公司,市城市管理局,19806.41,3551.61,2025-06-09,中央预算内投资,张建华,招投标管理处
南城区公交站台建设四期,UC20250046,环保建设投资公司,市文化和旅游局,5870.42,319.11,2024-10-07,中央补助,陈志刚,招投标管理处
经济技术开发区医院建设工程五期,UC20250173,基础设施建设公司,市卫生健康委员会,12952.5,1981.6,2025-01-22,中央预算内投资,赵文博,质量安全处
开发区广场建设工程三期,UC20250051,环保建设投资公司,市规划和自然资源局,15130.96,2153.01,2024-08-08,中央补助,张建华,项目管理处
新区住宅小区建设二期,UC20250112,医疗建设发展公司,市文化和旅游局,4157.74,709.04,2024-03-19,中央补助,徐文军,资金管理处
滨海新区住宅小区建设二期,UC20250002,文化建设集团,市发展和改革委员会,15577.7,1799.86,2024-09-24,中央综合财力,马建设,计划财务处
新区桥梁建设工程四期,UC20250066,环保建设投资公司,市生态环境局,9379.49,3130.96,2024-02-17,中央综合财力,钱国强,质量安全处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,5399.98,2024-04-20,中央补助,黄志明,工程建设处
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,7647.73,1120.12,2023-03-21,省级补助,王志远,工程建设处
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,4605.77,610.32,2023-07-04,中央综合财力,林志强,项目管理处
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,8515.16,1854.91,2023-09-17,中央综合财力,马建设,招投标管理处
科技园区医院建设工程一期,UC20250045,文化建设集团,市生态环境局,6084.2,901.37,2023-04-04,中央综合财力,梁文博,资金管理处
北城区污水处理厂建设五期,UC20250087,医疗建设发展公司,市发展和改革委员会,2611.61,819.65,2025-04-30,中央综合财力,马建设,招投标管理处
开发区广场建设工程三期,UC20250051,环保建设投资公司,市规划和自然资源局,15130.96,6339.91,2024-07-19,中央预算内投资,赵文博,审计监察处
山区污水处理厂建设四期,UC20250005,公共设施建设集团,市文化和旅游局,17553.7,3956.66,2023-12-20,土地出让金,邓文华,综合管理处
新区广场建设工程五期,UC20250094,住房建设集团,市规划和自然资源局,9339.82,639.79,2024-10-27,土地出让金,黄志明,项目管理处
高新区桥梁建设工程四期,UC20250161,住房建设集团,市卫生健康委员会,3537.44,1147.87,2024-03-14,省级补助,孙海涛,工程建设处
高新区排水管网工程四期,UC20250025,市政建设集团有限公司,市城市管理局,17683.31,1345.96,2023-12-23,中央预算内投资,徐文军,投资建设处
滨海新区商业综合体建设三期,UC20250140,住房建设集团,市生态环境局,15413.4,4534.99,2023-06-06,土地出让金,韩志刚,审计监察处
新区污水处理厂建设三期,UC20250160,环保建设投资公司,市城市管理局,19573.5,6255.07,2024-12-11,一般债券,邓文华,质量安全处
开发区学校建设工程四期,UC20250118,水务建设集团公司,市体育局,8515.16,1254.39,2023-04-09,专项债券,朱建平,综合管理处
西城区桥梁建设工程一期,UC20250154,文化建设集团,市文化和旅游局,9844.53,2021.34,2024-03-29,中央综合财力,朱建平,综合管理处
开发区公园绿化工程五期,UC20250039,住房建设集团,市规划和自然资源局,11375.17,1913.7,2023-09-29,土地出让金,邓文华,资金管理处
西城区桥梁建设工程一期,UC20250154,文化建设集团,市文化和旅游局,9844.53,4371.39,2023-09-04,土地出让金,梁文博,招投标管理处
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,12450.51,5375.54,2024-01-02,一般债券,邓文华,项目管理处
中心区道路建设工程一期,UC20250040,水务建设集团公司,市教育局,1376.1,415.97,2023-10-04,中央补助,王志远,综合管理处
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,2667.23,2024-08-25,专项债券,高建国,项目管理处
生态城区公交站台建设一期,UC20250156,城市投资建设集团,市卫生健康委员会,19120.9,5517.64,2025-02-09,中央预算内投资,朱建平,计划财务处
高新区桥梁建设工程四期,UC20250161,住房建设集团,市卫生健康委员会,3537.44,1712.43,2024-01-11,中央预算内投资,赵文博,工程建设处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,4565.36,2024-09-04,中央预算内投资,梁文博,计划财务处
北城区博物馆建设一期,UC20250092,环保建设投资公司,市城市管理局,14721.72,1343.39,2023-04-27,中央综合财力,孙海涛,计划财务处
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,4114.42,255.17,2024-06-05,一般债券,吴德华,投资建设处
生态城区公交站台建设三期,UC20250120,城市投资建设集团,市生态环境局,641.27,111.94,2023-08-15,中央预算内投资,刘建国,工程建设处
经济技术开发区体育中心建设二期,UC20250169,医疗建设发展公司,市体育局,8178.7,811.8,2024-05-02,中央综合财力,陈志刚,计划财务处
开发区供水管网工程三期,UC20250162,交通建设发展集团,市卫生健康委员会,1008.09,248.05,2024-08-31,土地出让金,钱国强,规划设计处
